CHIP 10000 10000
SOFTMODULE 160
C00_M0 782348
C00_M1 688818
C00_M2 363438
C00_M3 359494
C00_M4 398560
C00_M5 197005
C00_M6 205205
C00_M7 174561
C00_M8 187309
C00_M9 172386
C01_M0 718293
C01_M1 761939
C01_M2 344525
C01_M3 357639
C01_M4 391970
C01_M5 191991
C01_M6 179642
C01_M7 193678
C01_M8 202056
C01_M9 171500
C02_M0 807677
C02_M1 791285
C02_M2 368403
C02_M3 354339
C02_M4 415361
C02_M5 184062
C02_M6 174782
C02_M7 174933
C02_M8 203505
C02_M9 194228
C03_M0 807876
C03_M1 796094
C03_M2 383319
C03_M3 416571
C03_M4 371316
C03_M5 192261
C03_M6 202816
C03_M7 194791
C03_M8 204046
C03_M9 193224
C10_M0 792264
C10_M1 691987
C10_M2 359851
C10_M3 364531
C10_M4 348578
C10_M5 180112
C10_M6 175096
C10_M7 181831
C10_M8 195444
C10_M9 185137
C11_M0 741362
C11_M1 716903
C11_M2 362826
C11_M3 413796
C11_M4 391829
C11_M5 194434
C11_M6 177765
C11_M7 199000
C11_M8 177471
C11_M9 185693
C12_M0 835641
C12_M1 782435
C12_M2 384896
C12_M3 394613
C12_M4 406657
C12_M5 200784
C12_M6 179969
C12_M7 172474
C12_M8 183257
C12_M9 181442
C13_M0 717128
C13_M1 828545
C13_M2 409208
C13_M3 366456
C13_M4 392392
C13_M5 186309
C13_M6 206057
C13_M7 188715
C13_M8 181333
C13_M9 180638
C20_M0 770465
C20_M1 725007
C20_M2 387000
C20_M3 410841
C20_M4 372905
C20_M5 179599
C20_M6 209215
C20_M7 190643
C20_M8 174712
C20_M9 173045
C21_M0 701702
C21_M1 780524
C21_M2 402792
C21_M3 374637
C21_M4 347341
C21_M5 185775
C21_M6 209161
C21_M7 191388
C21_M8 208208
C21_M9 204010
C22_M0 686759
C22_M1 794723
C22_M2 394392
C22_M3 383375
C22_M4 362814
C22_M5 195645
C22_M6 175498
C22_M7 187798
C22_M8 188519
C22_M9 207551
C23_M0 818338
C23_M1 725105
C23_M2 380606
C23_M3 356103
C23_M4 411968
C23_M5 204381
C23_M6 182610
C23_M7 195568
C23_M8 194427
C23_M9 177069
C30_M0 801084
C30_M1 767118
C30_M2 401768
C30_M3 382872
C30_M4 342549
C30_M5 183589
C30_M6 171994
C30_M7 206610
C30_M8 204693
C30_M9 202902
C31_M0 731822
C31_M1 693829
C31_M2 409333
C31_M3 414580
C31_M4 349025
C31_M5 189747
C31_M6 173886
C31_M7 200198
C31_M8 200397
C31_M9 176138
C32_M0 757361
C32_M1 768705
C32_M2 362679
C32_M3 408908
C32_M4 374711
C32_M5 179313
C32_M6 191776
C32_M7 199031
C32_M8 178907
C32_M9 183115
C33_M0 836498
C33_M1 783939
C33_M2 375850
C33_M3 381899
C33_M4 351715
C33_M5 179804
C33_M6 184119
C33_M7 193641
C33_M8 180010
C33_M9 179633
FIXEDMODULE 48
PAD_B0 200 0 450 130
PAD_B1 1160 0 450 130
PAD_B2 2120 0 450 130
PAD_B3 3080 0 450 130
PAD_B4 4040 0 450 130
PAD_B5 5000 0 450 130
PAD_B6 5960 0 450 130
PAD_B7 6920 0 450 130
PAD_B8 7880 0 450 130
PAD_B9 8840 0 450 130
PAD_T0 200 9870 450 130
PAD_T1 1160 9870 450 130
PAD_T2 2120 9870 450 130
PAD_T3 3080 9870 450 130
PAD_T4 4040 9870 450 130
PAD_T5 5000 9870 450 130
PAD_T6 5960 9870 450 130
PAD_T7 6920 9870 450 130
PAD_T8 7880 9870 450 130
PAD_T9 8840 9870 450 130
PAD_L0 0 200 130 450
PAD_L1 0 1160 130 450
PAD_L2 0 2120 130 450
PAD_L3 0 3080 130 450
PAD_L4 0 4040 130 450
PAD_L5 0 5000 130 450
PAD_L6 0 5960 130 450
PAD_L7 0 6920 130 450
PAD_L8 0 7880 130 450
PAD_L9 0 8840 130 450
PAD_R0 9870 200 130 450
PAD_R1 9870 1160 130 450
PAD_R2 9870 2120 130 450
PAD_R3 9870 3080 130 450
PAD_R4 9870 4040 130 450
PAD_R5 9870 5000 130 450
PAD_R6 9870 5960 130 450
PAD_R7 9870 6920 130 450
PAD_R8 9870 7880 130 450
PAD_R9 9870 8840 130 450
SRAM_A 3050 3150 1400 1200
SRAM_B 5650 3050 1200 1400
PLL 3200 5750 1100 1000
ROM 5600 5700 1300 1100
DSP_0 3550 950 400 600
DSP_1 6050 950 400 600
ADC 3500 8550 500 400
DAC 6000 8550 500 400
CONNECTION 512
C00_M0 C00_M1 436
C00_M1 C00_M2 762
C00_M2 C00_M3 723
C00_M3 C00_M4 430
C00_M4 C00_M5 517
C00_M5 C00_M6 434
C00_M6 C00_M7 416
C00_M7 C00_M8 569
C00_M8 C00_M9 436
C00_M9 C00_M0 563
C00_M0 C00_M2 321
C00_M1 C00_M3 342
C00_M0 C00_M4 448
C00_M1 C00_M5 309
C00_M0 C00_M6 476
C00_M1 C00_M7 267
C00_M0 C00_M8 492
C00_M1 C00_M9 495
C01_M0 C01_M1 642
